location,sum
Argentina,96504666
Austria,18125500
Belgium,24991627
Bulgaria,4334124
Chile,34631029
Croatia,4631636
Cyprus,1659699
Czechia,16604926
Denmark,12014825
Ecuador,29911659
Estonia,2036330
Finland,11675692
France,141666197
Germany,171940027
Hong Kong,14944464
Hungary,14232848
Iceland,83137
Ireland,9220934
Italy,122198105
Japan,92335095
Latvia,2611844
Liechtenstein,70162
Lithuania,4448837
Luxembourg,1143510
Malta,1202205
Nepal,39935568
Netherlands,34028596
Norway,11256663
Peru,65552891
Poland,50123651
Portugal,18552748
Romania,15887327
Slovakia,5936176
Slovenia,2808494
South Africa,33569841
South Korea,120442914
Spain,100481832
Sweden,19488550
Switzerland,15619857
Ukraine,31683310
United States of America,559654361
Uruguay,5815259
European Union,836078790
